City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,yellowknife,62.456,-114.3525,5.12,64,100,5.28,CA,1713561351
83,longyearbyen,78.2186,15.6401,-2.09,64,75,10.8,SJ,1713561284
84,pariaman,-0.619,100.12,26.03,90,100,2.13,ID,1713561352
85,virac,13.6333,124.2167,21.42,88,89,2.7,PH,1713561352
86,susuman,62.7833,148.1667,-9.45,98,100,1.34,RU,1713561353
87,fremont,37.5483,-121.9886,26.07,58,0,5.14,US,1713561203
88,klyuchi,52.2667,79.1667,7.82,72,47,3.44,RU,1713561353
89,chibougamau,49.9168,-74.3659,4.23,97,100,4.38,CA,1713561353
90,mossel bay,-34.1831,22.146,13.96,90,61,2.0,ZA,1713561353
91,tura,25.5198,90.2201,22.6,52,0,2.0,IN,1713561354
92,wunnenberg,51.5167,8.7,5.79,93,100,4.63,DE,1713561354
93,akcaabat,41.0212,39.5715,13.93,88,75,1.54,TR,1713561354
94,cold lake,54.4502,-110.2017,3.56,33,2,0.21,CA,1713561355
95,nizhneangarsk,55.7833,109.55,-5.55,77,5,2.24,RU,1713561355
96,shimoda,34.6667,138.95,13.95,57,100,2.41,JP,1713561355
97,bethel,41.3712,-73.414,13.53,64,100,5.66,US,1713561121
98,cadale,2.7603,46.3222,28.82,79,56,6.84,SO,1713561355
99,piacabucu,-10.4056,-36.4344,27.17,76,100,3.08,BR,1713561356
100,anadyr,64.75,177.4833,-11.72,65,0,2.0,RU,1713561356
101,luanda,-8.8368,13.2343,26.57,89,89,1.39,AO,1713561356
102,abepura,-2.6333,140.5833,25.45,89,40,1.54,ID,1713561357
103,bandon,51.7469,-8.7425,10.77,93,34,3.0,IE,1713561357
104,brokopondo,4.75,-55.1667,28.43,75,71,2.17,SR,1713561357
105,harper,4.375,-7.7169,28.36,84,53,3.32,LR,1713561358
106,kananga,-5.8958,22.4178,22.32,94,99,1.1,CD,1713561358
107,la passe,45.5549,-0.8967,11.66,73,12,4.06,FR,1713561359
108,juan griego,11.0817,-63.9655,28.98,74,95,2.71,VE,1713561359
109,galle,6.0367,80.217,28.01,81,100,3.2,LK,1713561359
110,happy valley-goose bay,53.3168,-60.3315,7.77,41,88,0.32,CA,1713561360
111,igarka,67.4667,86.5833,-15.55,95,100,4.92,RU,1713561360
112,tralee,52.2704,-9.7026,8.12,97,46,0.78,IE,1713561360
113,dexter,36.7959,-89.9579,18.81,45,100,6.18,US,1713561360
114,puri,19.8,85.85,28.29,87,0,8.3,IN,1713561361
115,gao,16.6362,1.637,33.27,9,4,4.46,ML,1713561361
116,ribeira grande,38.5167,-28.7,16.54,88,100,1.79,PT,1713561361
117,al kharijah,25.4514,30.5464,24.0,25,0,4.24,EG,1713561362
118,gorontalo,0.5412,123.0595,23.44,96,74,1.32,ID,1713561362
119,mehar,27.1807,67.8229,26.79,31,6,3.14,PK,1713561362
120,utrik,11.2278,169.8474,26.81,81,10,9.23,MH,1713561362
121,alofi,-19.0595,-169.9187,27.94,74,40,5.66,NU,1713561363
122,zayed city,24.3768,54.589,26.67,78,0,1.54,AE,1713561363
123,morant bay,17.8815,-76.4093,27.65,68,27,6.64,JM,1713561363
124,tegucigalpa,14.0818,-87.2068,33.42,31,40,2.57,HN,1713561363
125,dayr hafir,36.1569,37.7078,16.3,74,5,4.61,SY,1713561364
126,vila velha,-20.3297,-40.2925,24.97,75,0,6.69,BR,1713561364
